onset	duration	trialid	cue_onset	arr_dir	cue_id	gng_id	corr_resp	response	correctness	rt
10.209	200	1	9.909	2	0	0	2	NaN	0	0
14.087	200	2	13.787	1	0	0	1	1	1	0.463
18.645	200	3	18.345	1	1	0	1	1	1	0.617
21.924	165	4	21.624	1	1	1	NaN	NaN	1	0
25.575	200	5	25.275	2	0	0	2	2	1	0.407
28.654	200	6	28.354	1	0	0	1	1	1	0.424
31.573	200	7	31.273	1	0	0	1	1	1	0.369
34.771	200	8	34.471	2	1	0	2	2	1	0.443
38.876	198	9	38.576	1	1	1	NaN	1	0	0.378
41.982	200	10	41.682	2	0	0	2	2	1	0.424
44.94	200	11	44.64	1	0	0	1	1	1	0.466
48.419	200	12	48.119	1	1	0	1	1	1	0.483
54.776	165	13	54.476	1	1	1	NaN	NaN	1	0
58.441	200	14	58.141	2	1	0	2	2	1	0.493
65.491	200	15	65.191	1	0	0	1	1	1	0.523
68.53	200	16	68.23	2	1	0	2	2	1	0.436
72.848	200	17	72.548	2	0	0	2	2	1	0.454
76.393	200	18	76.093	2	1	0	2	2	1	0.301
79.525	200	19	79.225	2	0	0	2	2	1	0.481
82.71	198	20	82.41	1	1	1	NaN	NaN	1	0
85.629	200	21	85.329	1	1	0	1	1	1	0.505
89.987	200	22	89.687	2	0	0	2	2	1	0.443
93.292	200	23	92.992	1	0	0	1	1	1	0.514
98.13	231	24	97.83	2	1	1	NaN	2	0	0.444
101.435	200	25	101.135	1	0	0	1	1	1	0.459
107.033	198	26	106.733	2	1	1	NaN	2	0	0.429
111.458	165	27	111.158	1	1	1	NaN	NaN	1	0
115.429	200	28	115.129	1	1	0	1	1	1	0.489
121.587	200	29	121.287	2	0	0	2	2	1	0.451
124.985	198	30	124.685	2	1	1	NaN	NaN	1	0
128.93	200	31	128.63	2	0	0	2	2	1	0.468
135.087	200	32	134.787	2	1	0	2	2	1	0.415
138.979	200	33	138.679	2	0	0	2	2	1	0.635
142.99	200	34	142.69	1	1	0	1	1	1	0.512
146.589	200	35	146.289	1	0	0	1	1	1	0.457
150.321	200	36	150.021	2	1	0	2	2	1	0.461
153.239	200	37	152.939	2	1	0	2	NaN	0	0
157.224	200	38	156.924	1	1	0	1	1	1	0.422
160.263	231	39	159.963	2	1	1	NaN	2	0	0.423
164.141	200	40	163.841	1	1	0	1	1	1	0.496
167.047	198	41	166.747	2	1	1	NaN	NaN	1	0
170.365	200	42	170.065	1	0	0	1	1	1	0.48
173.337	200	43	173.037	1	1	0	1	1	1	0.452
176.283	200	44	175.983	2	0	0	2	2	1	0.458
179.361	200	45	179.061	1	1	0	1	1	1	0.388
182.373	200	46	182.073	1	1	0	1	1	1	0.44
185.358	200	47	185.058	1	0	0	1	1	1	0.463
189.783	200	48	189.483	2	1	0	2	2	1	0.438
193.048	200	49	192.748	2	1	0	2	2	1	0.429
196.194	231	50	195.894	1	1	1	NaN	NaN	1	0
199.592	200	51	199.292	2	1	0	2	2	1	0.365
202.831	264	52	202.531	2	1	1	NaN	2	0	0.478
206.283	200	53	205.983	2	0	0	2	2	1	0.466
209.868	200	54	209.568	2	1	0	2	2	1	0.457
213.386	200	55	213.086	1	1	0	1	1	1	0.539
216.292	200	56	215.992	2	0	0	2	2	1	0.393
219.557	200	57	219.257	2	1	0	2	2	1	0.472
224.181	231	58	223.881	2	1	1	NaN	2	0	0.4
227.806	200	59	227.506	1	1	0	1	1	1	0.655
233.644	198	60	233.344	1	1	1	NaN	1	0	0.449
238.109	200	61	237.809	2	0	0	2	2	1	0.424
243.44	165	62	243.14	1	1	1	NaN	NaN	1	0
246.985	200	63	246.685	2	1	0	2	2	1	0.372
252.622	200	64	252.322	1	0	0	1	1	1	0.503
257.127	200	65	256.827	2	0	0	2	2	1	0.414
260.512	200	66	260.212	1	0	0	1	1	1	0.389
263.471	200	67	263.171	2	0	0	2	2	1	0.43
269.135	200	68	268.835	2	1	0	2	2	1	0.462
273.533	200	69	273.233	1	1	0	1	1	1	0.544
278.584	200	70	278.284	1	0	0	1	1	1	0.557
281.689	200	71	281.389	1	1	0	1	1	1	0.46
285.674	200	72	285.374	1	0	0	1	1	1	0.683
288.78	200	73	288.48	1	0	0	1	1	1	0.337
292.418	200	74	292.118	1	1	0	1	1	1	0.755
295.457	198	75	295.157	2	1	1	NaN	2	0	0.388
299.002	200	76	298.702	1	0	0	1	1	1	0.411
302.2	200	77	301.9	2	1	0	2	2	1	0.477
305.386	200	78	305.086	2	1	0	2	2	1	0.467
308.278	200	79	307.978	1	1	0	1	1	1	0.383
311.21	200	80	310.91	2	0	0	2	2	1	0.483
