onset	duration	trialid	cue_onset	arr_dir	cue_id	gng_id	corr_resp	response	correctness	rt
10.209	165	1	9.909	1	1	1	NaN	NaN	1	0
14.168	200	2	13.868	2	0	0	2	NaN	0	0
19.499	200	3	19.199	2	1	0	2	2	1	0.481
23.484	200	4	23.184	1	1	0	1	1	1	0.888
28.535	200	5	28.235	1	0	0	1	1	1	0.597
31.573	200	6	31.273	1	1	0	1	2	0	0.807
35.558	200	7	35.258	2	0	0	2	2	1	0.518
39.437	200	8	39.137	2	0	0	2	2	1	0.479
42.395	200	9	42.095	2	0	0	2	2	1	0.489
45.581	200	10	45.281	2	1	0	2	2	1	0.487
51.218	198	11	50.918	2	1	1	NaN	NaN	1	0
55.083	200	12	54.783	2	0	0	2	2	1	0.537
58.482	200	13	58.182	1	0	0	1	1	1	0.466
63.319	200	14	63.019	1	1	0	1	1	1	0.581
69.157	200	15	68.857	1	1	0	1	1	1	0.359
72.142	200	16	71.842	1	1	0	1	1	1	0.982
78.499	200	17	78.199	1	1	0	1	1	1	0.513
81.525	200	18	81.225	2	0	0	2	2	1	0.631
84.83	200	19	84.53	1	0	0	1	1	1	0.878
87.749	200	20	87.449	2	1	0	2	2	1	0.735
90.667	200	21	90.367	2	0	0	2	1	0	0.689
93.933	200	22	93.633	1	1	0	1	1	1	0.511
96.865	200	23	96.565	2	1	0	2	2	1	0.395
101.183	200	24	100.883	1	1	0	1	2	0	0.629
104.461	231	25	104.161	1	1	1	NaN	2	0	0.279
108.126	200	26	107.826	2	1	0	2	2	1	0.182
112.231	200	27	111.931	1	1	0	1	2	0	0.101
115.83	198	28	115.53	1	1	1	NaN	2	0	0.23
118.922	200	29	118.622	1	1	0	1	2	0	0.034
121.934	200	30	121.634	2	0	0	2	1	0	0.27
125.479	200	31	125.179	2	0	0	2	2	1	0.341
128.557	200	32	128.257	2	1	0	2	2	1	0.519
132.076	200	33	131.776	2	0	0	2	1	0	0.64
135.155	165	34	134.855	1	1	1	NaN	1	0	0.089
138.806	200	35	138.506	1	0	0	1	2	0	0.214
143.231	132	36	142.931	2	1	1	NaN	2	0	0.789
146.696	200	37	146.396	2	1	0	2	2	1	0.524
149.935	200	38	149.635	2	1	0	2	2	1	0.069
154.559	200	39	154.259	2	1	0	2	2	1	0.509
158.957	200	40	158.657	1	0	0	1	1	1	0.607
163.515	200	41	163.215	2	0	0	2	NaN	0	0
166.901	200	42	166.601	2	1	0	2	2	1	0.471
170.033	99	43	169.733	2	1	1	NaN	NaN	1	0
173.991	200	44	173.691	2	0	0	2	NaN	0	0
180.148	200	45	179.848	2	1	0	2	2	1	1
183.04	132	46	182.74	2	1	1	NaN	NaN	1	0
186.359	200	47	186.059	1	0	0	1	1	1	1.236
189.837	200	48	189.537	1	0	0	1	NaN	0	0
192.943	165	49	192.643	2	1	1	NaN	2	0	0.86
196.568	200	50	196.268	1	0	0	1	NaN	0	0
200.299	200	51	199.999	1	1	0	1	NaN	0	0
203.325	200	52	203.025	1	1	0	1	1	1	0.502
207.696	200	53	207.396	2	1	0	2	2	1	0.483
210.961	200	54	210.661	2	0	0	2	1	0	0.554
215	132	55	214.7	1	1	1	NaN	NaN	1	0
217.918	165	56	217.618	1	1	1	NaN	NaN	1	0
222.41	200	57	222.11	1	1	0	1	1	1	1.001
225.315	198	58	225.015	2	1	1	NaN	NaN	1	0
228.873	231	59	228.573	1	1	1	NaN	1	0	0.49
232.405	200	60	232.105	2	1	0	2	NaN	0	0
239.456	200	61	239.156	1	0	0	1	1	1	0.571
243.094	200	62	242.794	2	0	0	2	2	1	1.069
247.105	200	63	246.805	1	0	0	1	1	1	0.634
250.064	200	64	249.764	1	0	0	1	1	1	0.499
253.169	200	65	252.869	1	0	0	1	1	1	0.578
256.142	200	66	255.842	2	0	0	2	2	1	0.581
259.727	200	67	259.427	2	1	0	2	2	1	0.772
262.912	200	68	262.612	2	1	0	2	1	0	0.483
266.804	200	69	266.504	2	0	0	2	2	1	0.527
272.468	200	70	272.168	1	0	0	1	2	0	0.263
275.666	200	71	275.366	1	1	0	1	1	1	0.841
278.572	200	72	278.272	2	1	0	2	2	1	0.399
281.717	198	73	281.417	2	1	1	NaN	NaN	1	0
286.155	231	74	285.855	2	1	1	NaN	2	0	0.464
289.46	198	75	289.16	1	1	1	NaN	1	0	0.575
292.859	200	76	292.559	1	0	0	1	1	1	0.696
298.456	200	77	298.156	1	1	0	1	1	1	0.555
301.402	200	78	301.102	1	0	0	1	1	1	1.081
305.906	200	79	305.606	1	0	0	1	1	1	0.697
309.105	200	80	308.805	1	1	0	1	1	1	0.466
