onset	duration	trialid	cue_onset	arr_dir	cue_id	gng_id	corr_resp	response	correctness	rt
10.209	165	1	9.909	2	1	1	NaN	NaN	1	0
13.674	200	2	13.374	2	0	0	2	2	1	0.528
19.832	200	3	19.532	1	1	0	1	1	1	0.458
25.989	200	4	25.689	2	1	0	2	2	1	0.445
28.908	200	5	28.608	2	1	0	2	2	1	0.422
32.893	200	6	32.593	1	1	0	1	2	0	0.205
35.825	198	7	35.525	2	1	1	NaN	NaN	1	0
39.45	200	8	39.15	1	1	0	1	1	1	0.456
43.048	200	9	42.748	2	1	0	2	2	1	0.594
46.193	200	10	45.893	1	0	0	1	NaN	0	0
50.618	231	11	50.318	1	1	1	NaN	NaN	1	0
53.724	200	12	53.424	2	0	0	2	2	1	0.558
57.029	200	13	56.729	2	1	0	2	NaN	0	0
61.427	200	14	61.127	1	1	0	1	1	1	0.559
64.332	200	15	64.032	2	1	0	2	2	1	0.806
68.224	200	16	67.924	1	0	0	1	1	1	0.514
71.423	200	17	71.123	1	1	0	1	1	1	0.467
74.408	200	18	74.108	1	1	0	1	1	1	0.37
78.766	200	19	78.466	2	0	0	2	2	1	0.444
82.165	200	20	81.865	1	0	0	1	1	1	0.661
87.762	200	21	87.462	2	1	0	2	2	1	0.56
92.387	200	22	92.087	1	1	0	1	1	1	0.479
95.665	264	23	95.365	1	1	1	NaN	1	0	0.377
99.317	231	24	99.017	1	1	1	NaN	NaN	1	0
103.795	200	25	103.495	1	0	0	1	1	1	0.359
108.3	264	26	108	1	1	1	NaN	NaN	1	0
112.258	297	27	111.958	2	1	1	NaN	2	0	0.528
116.23	264	28	115.93	1	1	1	NaN	NaN	1	0
119.628	200	29	119.328	2	1	0	2	NaN	0	0
122.52	297	30	122.22	1	1	1	NaN	1	0	0.506
126.052	200	31	125.752	2	0	0	2	2	1	0.558
129.317	200	32	129.017	1	0	0	1	1	1	0.405
132.289	200	33	131.989	1	0	0	1	1	1	0.497
137.127	200	34	136.827	2	0	0	2	2	1	0.459
141.006	200	35	140.706	1	0	0	1	1	1	0.38
144.644	200	36	144.344	1	1	0	1	1	1	0.526
151.001	200	37	150.701	2	0	0	2	2	1	0.441
155.013	200	38	154.713	2	0	0	2	2	1	0.502
159.051	200	39	158.751	2	0	0	2	1	0	0.215
162.13	200	40	161.83	1	0	0	1	1	1	0.448
165.608	200	41	165.308	1	0	0	1	2	0	0.362
170.166	200	42	169.866	1	0	0	1	1	1	0.5
173.898	200	43	173.598	2	1	0	2	2	1	0.48
180.948	200	44	180.648	1	0	0	1	1	1	0.478
184.054	200	45	183.754	2	0	0	2	2	1	0.501
189.718	200	46	189.418	2	0	0	2	2	1	0.58
193.303	264	47	193.003	2	1	1	NaN	2	0	0.515
196.595	200	48	196.295	1	0	0	1	NaN	0	0
199.514	200	49	199.214	1	1	0	1	1	1	0.48
203.499	200	50	203.199	2	1	0	2	2	1	0.471
206.764	200	51	206.464	2	0	0	2	2	1	0.446
209.949	200	52	209.649	2	1	0	2	2	1	0.853
213.188	200	53	212.888	2	1	0	2	1	0	0.67
217.293	200	54	216.993	1	0	0	1	1	1	0.453
220.491	200	55	220.191	1	0	0	1	1	1	0.495
223.597	200	56	223.297	1	0	0	1	1	1	0.429
226.635	200	57	226.335	1	1	0	1	1	1	0.471
229.674	200	58	229.374	2	1	0	2	2	1	0.544
232.859	200	59	232.559	2	1	0	2	2	1	0.479
237.177	200	60	236.877	1	0	0	1	1	1	0.537
240.136	200	61	239.836	2	0	0	2	2	1	0.498
245.467	231	62	245.167	2	1	1	NaN	2	0	0.511
249.345	200	63	249.045	2	1	0	2	2	1	0.729
254.983	200	64	254.683	2	1	0	2	2	1	0.499
258.115	200	65	257.815	1	1	0	1	1	1	0.559
261.02	200	66	260.72	2	0	0	2	NaN	0	0
264.405	198	67	264.105	1	1	1	NaN	NaN	1	0
267.324	200	68	267.024	1	1	0	1	NaN	0	0
272.375	231	69	272.075	1	1	1	NaN	NaN	1	0
276.014	200	70	275.714	1	1	0	1	NaN	0	0
279.052	264	71	278.752	2	1	1	NaN	NaN	1	0
283.477	200	72	283.177	2	0	0	2	2	1	0.517
286.436	200	73	286.136	1	1	0	1	1	1	0.75
292.273	200	74	291.973	2	0	0	2	2	1	0.457
295.819	200	75	295.519	1	1	0	1	1	1	0.495
298.764	200	76	298.464	2	0	0	2	NaN	0	0
301.843	200	77	301.543	2	1	0	2	2	1	0.439
305.361	200	78	305.061	1	1	0	1	1	1	0.713
308.373	297	79	308.073	2	1	1	NaN	2	0	0.437
311.932	264	80	311.632	2	1	1	NaN	1	0	0.574
