onset	duration	trialid	cue_onset	arr_dir	cue_id	gng_id	corr_resp	response	correctness	rt
10.208	200	1	9.908	1	1	0	1	1	1	0.521
15.259	200	2	14.959	1	1	0	1	1	1	0.485
18.165	200	3	17.865	1	1	0	1	2	0	0.331
24.322	200	4	24.022	1	0	0	1	1	1	0.534
27.361	200	5	27.061	2	0	0	2	2	1	0.591
33.025	200	6	32.725	2	0	0	2	2	1	0.599
37.063	200	7	36.763	1	0	0	1	1	1	0.497
40.542	200	8	40.242	2	0	0	2	2	1	0.522
43.807	200	9	43.507	2	1	0	2	2	1	0.433
48.205	200	10	47.905	2	0	0	2	2	1	0.499
54.362	200	11	54.062	1	0	0	1	1	1	0.446
57.468	200	12	57.168	1	0	0	1	1	1	0.404
60.666	200	13	60.366	1	1	0	1	1	1	0.51
63.678	200	14	63.378	1	0	0	1	1	1	0.41
66.637	200	15	66.337	1	0	0	1	1	1	0.483
71.195	200	16	70.895	2	1	0	2	2	1	0.365
74.114	165	17	73.814	1	1	1	NaN	NaN	1	0
77.752	200	18	77.452	2	1	0	2	2	1	0.424
81.644	200	19	81.344	1	0	0	1	1	1	0.468
84.562	198	20	84.262	2	1	1	NaN	2	0	0.414
88.107	200	21	87.807	2	0	0	2	2	1	0.397
91.493	165	22	91.193	2	1	1	NaN	NaN	1	0
94.958	200	23	94.658	1	1	0	1	1	1	0.49
98.556	200	24	98.256	2	1	0	2	2	1	0.412
102.541	200	25	102.241	2	0	0	2	2	1	0.387
106.419	200	26	106.119	2	1	0	2	2	1	0.549
112.057	200	27	111.757	1	1	0	1	1	1	0.511
117.894	200	28	117.594	2	0	0	2	2	1	0.538
121.48	198	29	121.18	2	1	1	NaN	2	0	0.368
124.771	200	30	124.471	1	0	0	1	1	1	0.429
129.609	200	31	129.309	1	0	0	1	1	1	0.495
132.808	165	32	132.508	1	1	1	NaN	NaN	1	0
135.727	200	33	135.427	2	1	0	2	2	1	0.465
140.351	200	34	140.051	2	1	0	2	2	1	0.473
143.496	198	35	143.196	2	1	1	NaN	NaN	1	0
147.455	200	36	147.155	1	1	0	1	1	1	0.457
150.36	200	37	150.06	2	0	0	2	2	1	0.432
153.665	200	38	153.365	1	0	0	1	1	1	0.631
158.09	231	39	157.79	2	1	1	NaN	NaN	1	0
161.409	200	40	161.109	1	1	0	1	1	1	0.439
164.447	200	41	164.147	2	0	0	2	2	1	0.473
167.526	264	42	167.226	1	1	1	NaN	NaN	1	0
170.631	200	43	170.331	2	1	0	2	2	1	0.449
174.949	200	44	174.649	2	0	0	2	2	1	0.627
178.961	200	45	178.661	2	1	0	2	2	1	0.375
182.479	297	46	182.179	1	1	1	NaN	NaN	1	0
186.011	330	47	185.711	1	1	1	NaN	1	0	0.469
189.663	200	48	189.363	1	0	0	1	1	1	0.473
195.26	200	49	194.96	2	1	0	2	1	0	0.356
198.392	200	50	198.092	1	0	0	1	1	1	0.488
202.124	200	51	201.824	2	0	0	2	2	1	0.404
205.309	297	52	205.009	1	1	1	NaN	1	0	0.595
209.787	200	53	209.487	2	0	0	2	2	1	0.541
213.332	200	54	213.032	1	1	0	1	1	1	0.396
216.358	200	55	216.058	2	1	0	2	2	1	0.41
219.543	200	56	219.243	2	1	0	2	2	1	0.529
222.808	200	57	222.508	1	1	0	1	1	1	0.384
229.166	200	58	228.866	1	1	0	1	1	1	0.418
233.524	200	59	233.224	2	0	0	2	2	1	0.444
238.855	200	60	238.555	2	1	0	2	2	1	0.561
242.959	200	61	242.659	2	0	0	2	2	1	0.368
246.358	200	62	246.058	1	0	0	1	1	1	0.433
249.996	200	63	249.696	2	1	0	2	2	1	0.451
253.222	264	64	252.922	2	1	1	NaN	2	0	0.401
256.847	231	65	256.547	1	1	1	NaN	1	0	0.456
260.245	200	66	259.945	1	0	0	1	2	0	0.41
264.75	200	67	264.45	2	0	0	2	2	1	0.473
267.829	200	68	267.529	1	1	0	1	1	1	0.49
270.761	200	69	270.461	1	0	0	1	1	1	0.39
273.866	200	70	273.566	1	1	0	1	1	1	0.733
276.811	198	71	276.511	2	1	1	NaN	2	0	0.42
280.69	165	72	280.39	2	1	1	NaN	NaN	1	0
285.141	200	73	284.841	2	0	0	2	2	1	0.402
288.1	200	74	287.8	1	1	0	1	1	1	0.443
291.378	200	75	291.078	1	0	0	1	1	1	0.309
294.35	200	76	294.05	1	1	0	1	1	1	0.457
297.336	200	77	297.036	2	1	0	2	2	1	0.415
304.386	200	78	304.086	2	1	0	2	2	1	0.501
307.278	198	79	306.978	1	1	1	NaN	1	0	0.377
311.236	200	80	310.936	1	1	0	1	1	1	0.411
