onset	duration	trialid	cue_onset	arr_dir	cue_id	gng_id	corr_resp	response	correctness	rt
10.209	200	1	9.909	1	0	0	1	1	1	0.486
14.767	200	2	14.467	1	1	0	1	2	0	0.408
17.672	200	3	17.372	1	1	0	1	1	1	0.471
20.711	200	4	20.411	2	0	0	2	2	1	0.704
26.042	200	5	25.742	1	1	0	1	1	1	0.493
29.64	200	6	29.34	1	1	0	1	1	1	0.455
35.997	200	7	35.697	2	1	0	2	2	1	0.546
39.516	200	8	39.216	1	0	0	1	1	1	0.523
42.475	165	9	42.175	2	1	1	NaN	2	0	0.436
46.446	200	10	46.146	1	1	0	1	1	1	0.409
49.378	200	11	49.078	1	0	0	1	1	1	0.493
52.484	200	12	52.184	2	1	0	2	2	1	0.507
55.616	200	13	55.316	1	0	0	1	1	1	0.519
60.12	200	14	59.82	1	0	0	1	1	1	0.455
63.226	200	15	62.926	1	1	0	1	1	1	0.421
67.211	132	16	66.911	2	1	1	NaN	NaN	1	0
70.676	200	17	70.376	1	1	0	1	1	1	0.371
73.954	200	18	73.654	2	1	0	2	2	1	0.653
78.352	165	19	78.052	1	1	1	NaN	1	0	0.399
81.764	200	20	81.464	2	1	0	2	2	1	0.482
84.95	200	21	84.65	1	1	0	1	1	1	0.401
87.855	200	22	87.555	1	1	0	1	1	1	0.84
90.84	200	23	90.54	1	0	0	1	1	1	0.431
94.319	132	24	94.019	2	1	1	NaN	2	0	0.56
97.93	200	25	97.63	2	1	0	2	2	1	0.501
100.849	200	26	100.549	2	1	0	2	2	1	0.525
104.114	200	27	103.814	1	0	0	1	1	1	0.404
108.952	200	28	108.652	2	0	0	2	2	1	0.894
112.964	200	29	112.664	2	0	0	2	2	1	0.354
116.842	200	30	116.542	2	0	0	2	2	1	0.492
120.387	200	31	120.087	2	0	0	2	2	1	0.524
123.466	200	32	123.166	2	0	0	2	2	1	0.677
126.865	200	33	126.565	2	0	0	2	2	1	0.869
130.13	200	34	129.83	2	0	0	2	NaN	0	0
133.315	200	35	133.015	2	0	0	2	2	1	0.651
136.7	200	36	136.4	2	1	0	2	2	1	0.602
141.325	99	37	141.025	2	1	1	NaN	NaN	1	0
145.203	200	38	144.903	1	0	0	1	1	1	0.531
149.628	132	39	149.328	1	1	1	NaN	NaN	1	0
152.733	165	40	152.433	2	1	1	NaN	2	0	0.441
157.171	200	41	156.871	2	1	0	2	2	1	0.443
162.809	200	42	162.509	1	1	0	1	2	0	0.453
167.86	132	43	167.56	2	1	1	NaN	2	0	0.466
171.179	200	44	170.879	1	1	0	1	1	1	0.571
175.537	200	45	175.237	2	0	0	2	2	1	0.429
179.122	200	46	178.822	2	1	0	2	2	1	0.428
182.014	200	47	181.714	2	1	0	2	2	1	0.472
185.999	200	48	185.699	2	0	0	2	2	1	0.407
192.156	200	49	191.856	1	0	0	1	1	1	0.586
195.128	200	50	194.828	2	1	0	2	2	1	0.494
199.446	200	51	199.146	1	0	0	1	1	1	0.376
202.365	200	52	202.065	1	1	0	1	1	1	0.625
205.377	99	53	205.077	1	1	1	NaN	1	0	0.589
208.909	66	54	208.609	2	1	1	NaN	NaN	1	0
212.467	200	55	212.167	2	1	0	2	2	1	0.611
215.613	99	56	215.313	1	1	1	NaN	NaN	1	0
220.091	200	57	219.791	2	0	0	2	2	1	0.467
223.396	200	58	223.096	2	1	0	2	2	1	0.658
230.446	132	59	230.146	1	1	1	NaN	NaN	1	0
233.365	200	60	233.065	1	1	0	1	1	1	0.577
239.522	200	61	239.222	1	1	0	1	1	1	0.572
245.36	165	62	245.06	1	1	1	NaN	1	0	0.366
249.318	200	63	249.018	2	0	0	2	2	1	0.744
254.982	200	64	254.682	1	0	0	1	1	1	0.344
258.021	200	65	257.721	1	0	0	1	1	1	0.609
261.659	132	66	261.359	1	1	1	NaN	1	0	0.435
265.298	200	67	264.998	2	1	0	2	2	1	0.436
269.402	200	68	269.102	1	1	0	1	1	1	0.58
272.348	200	69	272.048	2	1	0	2	2	1	0.57
275.586	200	70	275.286	1	0	0	1	1	1	0.516
279.318	200	71	279.018	2	0	0	2	2	1	0.272
283.356	200	72	283.056	1	0	0	1	1	1	0.426
288.954	200	73	288.654	2	1	0	2	2	1	0.492
292.846	200	74	292.546	1	0	0	1	1	1	0.432
296.031	99	75	295.731	2	1	1	NaN	2	0	0.511
299.336	66	76	299.036	1	1	1	NaN	NaN	1	0
302.974	200	77	302.674	2	0	0	2	2	1	0.48
306.053	200	78	305.753	1	1	0	1	1	1	0.481
309.092	200	79	308.792	1	0	0	1	1	1	0.65
312.29	200	80	311.99	2	0	0	2	2	1	0.516
